cuisine_name,relationship_type,area_name
African,LOCATED_IN,African
American,LOCATED_IN,NorthAmerican
Asian,LOCATED_IN,Asian
Austria,LOCATED_IN,WesternEuropean
Bangladesh,LOCATED_IN,SouthAsian
Belgium,LOCATED_IN,WesternEuropean
Cajun_Creole,LOCATED_IN,NorthAmerican
Canada,LOCATED_IN,NorthAmerican
Caribbean,LOCATED_IN,LatinAmerican
Central_South_American,LOCATED_IN,LatinAmerican
Chinese,LOCATED_IN,EastAsian
East_Asian,LOCATED_IN,EastAsian
East_African,LOCATED_IN,African
Eastern_Europe,LOCATED_IN,EasternEuropean
Russian,LOCATED_IN,EasternEuropean
Scottish,LOCATED_IN,WesternEuropean
French,LOCATED_IN,WesternEuropean
German,LOCATED_IN,WesternEuropean
Greek,LOCATED_IN,SouthernEuropean
Indian,LOCATED_IN,SouthAsian
Indonesia,LOCATED_IN,SoutheastAsian
Iran,LOCATED_IN,MiddleEastern
Irish,LOCATED_IN,WesternEuropean
Israel,LOCATED_IN,MiddleEastern
Italian,LOCATED_IN,SouthernEuropean
Japanese,LOCATED_IN,EastAsian
Jewish,LOCATED_IN,MiddleEastern
Korean,LOCATED_IN,EastAsian
Lebanon,LOCATED_IN,MiddleEastern
Malaysia,LOCATED_IN,SoutheastAsian
Mediterranean,LOCATED_IN,SouthernEuropean
Mexican,LOCATED_IN,LatinAmerican
Middle_Eastern,LOCATED_IN,MiddleEastern
Moroccan,LOCATED_IN,African
Netherlands,LOCATED_IN,WesternEuropean
North_African,LOCATED_IN,African
Pakistan,LOCATED_IN,SouthAsian
Philippines,LOCATED_IN,SoutheastAsian
Portugal,LOCATED_IN,SouthernEuropean
Scandinavian,LOCATED_IN,NorthernEuropean
South_African,LOCATED_IN,African
South_America,LOCATED_IN,LatinAmerican
Southern_SoulFood,LOCATED_IN,NorthAmerican
Southwestern,LOCATED_IN,NorthAmerican
Spain,LOCATED_IN,SouthernEuropean
Spanish_Portuguese,LOCATED_IN,SouthernEuropean
Switzerland,LOCATED_IN,WesternEuropean
Thai,LOCATED_IN,SoutheastAsian
Turkey,LOCATED_IN,MiddleEastern
UK,LOCATED_IN,WesternEuropean
Vietnamese,LOCATED_IN,SoutheastAsian
West_African,LOCATED_IN,African
Western,LOCATED_IN,WesternEuropean
